1;Bicicleta;80.52;20.05;5;1.00;0.04;0
2;Trotinete;100.00;25.00;5;0.50;0.02;0
3;Bicicleta;48.25;9.13;5;1.00;0.04;1
4;Bicicleta;2.03;5.69;4;0.70;0.12;0
5;Trotinete;45.00;55.00;1;2.00;0.08;0
6;Trotinete;100.00;25.00;1;0.50;0.02;0
7;Trotinete;100.00;25.00;1;0.50;0.02;0
8;Trotinete;100.00;25.00;3;0.50;0.02;0
9;Trotinete;100.00;25.00;5;0.50;0.02;0
10;Trotinete;100.00;25.00;7;0.50;0.02;0
11;Trotinete;100.00;25.00;6;0.50;0.02;0
12;Trotinete;100.00;25.00;6;0.50;0.02;0
13;Trotinete;100.00;25.00;9;0.50;0.02;0
14;Trotinete;100.00;25.00;8;0.50;0.02;0
15;Trotinete;100.00;25.00;7;0.50;0.02;0
16;Trotinete;100.00;25.00;10;0.50;0.02;0
17;Trotinete;100.00;25.00;11;0.50;0.02;0
18;Trotinete;100.00;25.00;12;0.50;0.02;0
19;Trotinete;100.00;25.00;4;0.50;0.02;0
